0.002,-0.648854,-19.7084,-0.278243,-0.84055,0.12861,-20.5446,0.270116,-0.857539,7.82264e-18,-12.5642,-0.00679893,-0.244467,0.00565895,-13.4563,-0.180423,-0.403338,0.122951,-7.08834,0.450539,-0.454201,0.449116,7.04228,0.204548,0.518173
0.004,0.0554379,-20.5714,0.0394731,-0.896154,-0.648855,-19.5999,-0.371746,-0.840552,7.82264e-18,-12.5642,-0.00679893,-0.244467,0.00142315,-13.4085,-0.182169,-0.403436,-0.650278,-6.19134,-0.189577,-0.437116,0.283288,7.44075,0.296371,0.575224
0.006,-0.418695,-19.7546,-0.185475,-0.810291,0.265446,-20.8701,0.114735,-0.998068,-1.03198e-16,-12.5641,-0.00679866,-0.244113,0.000852258,-12.929,-0.183966,-0.401346,0.264593,-7.94106,0.298701,-0.596721,0.280604,7.70316,0.208374,0.48446
0.008,0.183435,-20.7318,0.0803511,-0.946702,-0.601313,-19.5916,0.00142021,-0.691054,7.82994e-18,-12.564,-0.00691475,-0.244182,-0.000171435,-13.2311,-0.191477,-0.400915,-0.601142,-6.36049,0.192898,-0.290139,0.100009,7.64286,0.208936,0.518743
0.01,-0.713133,-20.0529,-0.0173707,-0.79048,-0.026576,-20.7321,-0.0701673,-0.929877,7.81669e-18,-12.5643,-0.00691522,-0.244398,0.00409486,-13.2405,-0.19027,-0.402247,-0.0306709,-7.49152,0.120103,-0.52763,0.444947,7.86829,0.211335,0.570371
0.012,0.103021,-20.4254,0.0322311,-0.921268,-0.530517,-19.9442,0.0760201,-0.82464,7.82267e-18,-12.5642,-0.00703131,-0.244467,-0.00123096,-13.4798,-0.196199,-0.402495,-0.529286,-6.46441,0.272219,-0.422145,0.0988443,7.48277,0.117605,0.593723
0.014,-0.569475,-19.6034,-0.106495,-0.754595,0.313029,-20.6155,-0.136415,-0.972334,7.81669e-18,-12.5643,-0.00691522,-0.244398,-0.00169222,-13.1911,-0.188359,-0.402501,0.314721,-7.42446,0.0519433,-0.569832,0.431509,7.09337,0.297987,0.451093
0.016,0.147238,-20.5062,0.011329,-0.947747,-0.752093,-19.3047,-0.0313492,-0.669446,7.82267e-18,-12.5642,-0.00703131,-0.244467,-0.00254071,-13.4449,-0.19468,-0.402631,-0.749552,-5.85978,0.163331,-0.266815,0.296674,7.13063,0.129695,0.519144
0.018,-0.434063,-19.5508,-0.182574,-0.758776,-0.0627724,-20.8863,-0.175446,-1.03262,-1.03198e-16,-12.5641,-0.00679866,-0.244113,-0.00183052,-12.9518,-0.18129,-0.400839,-0.0609419,-7.93443,0.00584355,-0.631777,0.103117,7.42465,0.296687,0.518986
0.02,-0.0723532,-20.9192,0.0830984,-0.998452,0.37858,-19.2792,0.061336,-0.72476,7.82994e-18,-12.564,-0.00691475,-0.244182,-0.0122237,-13.2631,-0.190688,-0.400593,0.390804,-6.01608,0.252024,-0.324166,0.252616,7.693,0.0214897,0.576299
0.022,0.0310636,-19.8979,-0.181842,-0.818886,-1.04022,-21.1093,0.101345,-1.04959,7.82994e-18,-12.564,-0.00691475,-0.244182,-0.00380419,-13.2634,-0.190271,-0.400472,-1.03642,-7.84591,0.291616,-0.649115,0.251457,7.90768,0.35948,0.593646
0.024,-0.413124,-19.9939,0.0970199,-0.957445,0.396296,-19.9252,-0.350489,-0.784731,-1.03198e-16,-12.5641,-0.00679866,-0.244113,-0.00229141,-13.042,-0.183932,-0.400338,0.398587,-6.88316,-0.166557,-0.384393,-0.104323,7.03653,0.220975,0.559209
0.026,-0.30025,-20.6465,-0.145625,-0.773617,-0.413125,-19.6954,0.172165,-0.906601,7.81669e-18,-12.5643,-0.00691522,-0.244398,-0.00182105,-13.3349,-0.190955,-0.402092,-0.411304,-6.36044,0.36312,-0.504509,0.555067,7.78191,0.115018,0.502013
0.028,-0.156586,-19.9731,-0.0104858,-0.894896,-0.300251,-20.918,-0.0521184,-0.756576,7.81669e-18,-12.5643,-0.00691522,-0.244398,-0.0014584,-13.3171,-0.190186,-0.402473,-0.298792,-7.60088,0.138068,-0.354102,0.251002,7.76255,0.28456,0.536034
0.03,-0.21508,-20.6922,0.0657608,-0.761866,0.0534224,-19.6743,-0.0857435,-0.929125,-2.14216e-16,-12.5641,-0.00691502,-0.244536,-0.00617081,-13.7099,-0.189938,-0.403181,0.0595932,-5.96438,0.104194,-0.525944,0.250619,7.48334,0.116428,0.484864
0.032,-0.109376,-19.8457,-0.0855281,-0.955779,-0.607707,-20.9639,0.159151,-0.7618,7.82267e-18,-12.5642,-0.00703131,-0.244467,-0.00245962,-13.4248,-0.195428,-0.403166,-0.605247,-7.53906,0.35458,-0.358634,0.251018,7.56714,0.192282,0.576194
0.034,-0.351774,-20.2653,0.0615236,-0.809088,-0.136769,-19.8727,-0.254174,-1.05776,7.82994e-18,-12.564,-0.00691475,-0.244182,0.00332299,-13.1471,-0.187266,-0.401429,-0.140092,-6.72562,-0.0669081,-0.656332,0.0725356,7.27711,0.19284,0.542328
0.036,-0.293748,-20.3767,-0.10604,-0.935548,0.25086,-20.0752,0.0433971,-0.740983,7.83589e-18,-12.564,-0.00679846,-0.244251,-0.00457382,-13.4138,-0.181809,-0.401465,0.255434,-6.66135,0.225206,-0.339518,0.403153,7.6149,0.0999745,0.484934
0.038,-0.046854,-20.0048,-0.0844048,-0.828773,-0.868992,-20.5671,0.0626103,-0.833433,7.81669e-18,-12.5643,-0.00691522,-0.244398,-0.00059789,-13.14,-0.189331,-0.402704,-0.868394,-7.42714,0.251941,-0.430729,0.430797,7.63092,0.269259,0.569932
0.04,-0.235739,-20.2413,-0.00671154,-0.823788,0.135762,-19.9233,-0.159663,-0.896953,7.81669e-18,-12.5643,-0.00691522,-0.244398,-0.00031859,-13.1727,-0.18896,-0.402828,0.13608,-6.75059,0.0292972,-0.494125,-0.078343,7.37832,0.287969,0.535776
0.042,-0.270059,-20.1998,0.0046805,-0.840378,-0.0257305,-20.2413,-0.00670949,-0.823791,7.81669e-18,-12.5643,-0.00691522,-0.244398,-0.00505323,-13.1971,-0.189208,-0.402876,-0.0206773,-7.04422,0.182499,-0.420915,0.404185,7.61657,0.119581,0.484681
0.044,-0.213333,-20.3119,-0.0802064,-0.865426,-0.662686,-20.0909,-0.0887055,-0.891365,7.83589e-18,-12.564,-0.00679846,-0.244251,0.000216489,-13.4552,-0.18247,-0.401608,-0.662902,-6.63563,0.0937645,-0.489757,0.447273,7.50272,0.196983,0.518938
0.046,-0.163433,-19.9826,-0.0495391,-0.864489,-0.240727,-20.5023,0.0884434,-0.780355,7.81669e-18,-12.5643,-0.00691522,-0.244398,0.000564707,-13.1769,-0.189654,-0.4027,-0.241292,-7.32541,0.278097,-0.377655,-0.077396,7.49959,0.196627,0.519015
0.048,-0.484669,-20.2654,-0.0346552,-0.859972,0.229192,-19.901,-0.124797,-0.949497,7.82994e-18,-12.564,-0.00691475,-0.244182,0.000773168,-13.1995,-0.189437,-0.401117,0.228419,-6.70152,0.0646405,-0.54838,0.404708,7.36162,0.289895,0.570373
0.05,0.118733,-20.1873,0.0247141,-0.843057,-0.667287,-20.2656,-0.0346536,-0.77497,7.81669e-18,-12.5643,-0.00691522,-0.244398,0.000899455,-13.2171,-0.188994,-0.402453,-0.668187,-7.04851,0.154341,-0.372517,0.253287,7.60422,0.121038,0.485293
0.052,-0.47277,-19.9716,-0.173309,-0.907559,0.118732,-20.0787,-0.0686724,-0.877217,7.82264e-18,-12.5642,-0.00679893,-0.244467,0.00164563,-13.4623,-0.182295,-0.402974,0.117086,-6.61634,0.113622,-0.474243,0.256682,7.02924,0.301272,0.627476
0.054,-0.0773873,-20.3534,0.0550454,-0.765354,-0.68278,-20.0531,-0.0981639,-0.958626,7.81669e-18,-12.5643,-0.00691522,-0.244398,0.00635029,-13.1759,-0.189256,-0.402857,-0.68913,-6.87717,0.0910925,-0.555768,0.255708,7.69051,0.119523,0.451306
0.056,-0.584045,-19.6172,-0.2432,-0.939946,0.315237,-20.4621,0.148552,-0.680135,7.81669e-18,-12.5643,-0.00691522,-0.244398,0.00170108,-13.1994,-0.189053,-0.402799,0.313536,-7.26266,0.337605,-0.277336,0.452084,6.94952,0.395346,0.519288
0.058,-0.0274975,-20.8872,0.270459,-0.753843,-0.976672,-19.4272,-0.411963,-0.974037,7.81669e-18,-12.5643,-0.00691522,-0.244398,0.00105662,-13.2168,-0.188895,-0.402735,-0.977729,-6.21039,-0.223068,-0.571302,0.477783,7.84394,0.0461238,0.519661
0.06,-0.44629,-19.9961,-0.391059,-0.93091,0.155118,-21.077,0.439226,-0.804762,7.82994e-18,-12.564,-0.00691475,-0.244182,0.000612747,-13.2289,-0.189022,-0.401086,0.154505,-7.84814,0.628248,-0.403676,0.147426,8.0405,0.301855,0.520233
0.062,-0.107343,-20.1747,0.306596,-0.858883,-0.446291,-20.1322,-0.653211,-0.845839,-2.14234e-16,-12.5644,-0.00679913,-0.244329,0.000888677,-13.0129,-0.182621,-0.402262,-0.44718,-7.1193,-0.470591,-0.443577,0.29718,7.36835,0.12095,0.577526
0.064,-0.168154,-20.0059,-0.469472,-0.89458,0.102665,-19.7943,0.644012,-0.995092,7.82994e-18,-12.564,-0.00691475,-0.244182,-0.00448545,-13.3081,-0.190825,-0.400827,0.107151,-6.48624,0.834837,-0.594265,0.103941,7.01744,0.300168,0.594199
0.066,-0.119256,-20.3052,0.353006,-0.888675,-0.350772,-20.169,-0.806884,-0.826337,-1.03198e-16,-12.5641,-0.00679866,-0.244113,6.63852e-05,-13.0639,-0.184136,-0.40051,-0.350838,-7.10509,-0.622748,-0.425827,0.253242,7.81789,0.211234,0.508879
0.068,-0.206568,-20.2725,-0.348504,-0.851274,-0.329266,-20.1966,0.783809,-0.8379,7.82267e-18,-12.5642,-0.00703131,-0.244467,0.00445973,-13.5673,-0.196764,-0.402229,-0.333726,-6.62924,0.980573,-0.435671,0.0725317,7.44327,0.117664,0.536554
