0.002,-0.000730467,1.07523,-0.00725233,2.05374,0,1.09952,-0.00757161,2.06193
0.004,-0.000730467,1.07523,-0.00725233,2.05374,7.30467e-05,1.09952,-0.00757161,2.06201
0.006,-0.00076699,1.07525,-0.00720671,2.05374,0,1.0995,-0.007526,2.06193
0.008,-0.000730467,1.07525,-0.00720671,2.05374,0,1.0995,-0.00761722,2.06193
0.01,-0.000730467,1.07525,-0.00720671,2.05374,0,1.0995,-0.00761722,2.06193
0.012,-0.00076699,1.07525,-0.00720671,2.05374,0,1.09952,-0.00757161,2.06201
0.014,-0.000730467,1.07525,-0.00720671,2.05374,0,1.09952,-0.00757161,2.06193
0.016,-0.000730467,1.07525,-0.00720671,2.05374,-3.65234e-05,1.0995,-0.007526,2.06201
0.018,-0.000730467,1.07525,-0.00720671,2.05374,0,1.09947,-0.00757161,2.06201
0.02,-0.000730467,1.07523,-0.00725233,2.05383,0,1.09952,-0.00757161,2.06201
0.022,-0.00076699,1.07523,-0.00725233,2.05383,3.65234e-05,1.09952,-0.00757161,2.06193
0.024,-0.00076699,1.07525,-0.00720671,2.05383,-3.65234e-05,1.0995,-0.007526,2.06193
0.026,-0.000730467,1.07525,-0.00720671,2.05383,0,1.09952,-0.00757161,2.06193
0.028,-0.000730467,1.07525,-0.00720671,2.05374,0,1.0995,-0.00761722,2.06193
0.03,-0.000730467,1.07525,-0.00720671,2.05374,-3.65234e-05,1.0995,-0.00761722,2.06201
0.032,-0.000730467,1.07525,-0.00720671,2.05374,0,1.09952,-0.00757161,2.06201
0.034,-0.000730467,1.07523,-0.00725233,2.05374,-3.65234e-05,1.09947,-0.00757161,2.06193
0.036,-0.00076699,1.07525,-0.00720671,2.05374,3.65234e-05,1.0995,-0.007526,2.06193
0.038,-0.00076699,1.07525,-0.00720671,2.05383,0,1.0995,-0.00761722,2.06201
0.04,-0.000730467,1.07525,-0.00720671,2.05383,0,1.09947,-0.00757161,2.06193
0.042,-0.00076699,1.07525,-0.00720671,2.05383,-3.65234e-05,1.0995,-0.00761722,2.06193
0.044,-0.000730467,1.07525,-0.00720671,2.05374,-3.65234e-05,1.09952,-0.00757161,2.06201
0.046,-0.00076699,1.07525,-0.00720671,2.05374,0,1.0995,-0.007526,2.06201
0.048,-0.00076699,1.07525,-0.00720671,2.05374,3.65234e-05,1.0995,-0.00761722,2.06193
0.05,-0.00076699,1.07525,-0.00720671,2.05374,0,1.0995,-0.00761722,2.06201
0.052,-0.000730467,1.07525,-0.00720671,2.05374,0,1.0995,-0.007526,2.06193
0.054,-0.000730467,1.07525,-0.00720671,2.05374,0,1.0995,-0.007526,2.06201
0.056,-0.000730467,1.07525,-0.00720671,2.05383,-3.65234e-05,1.0995,-0.00761722,2.06193
0.058,-0.000730467,1.07523,-0.00725233,2.05383,0,1.0995,-0.00761722,2.06193
